"rgi_id","o1region","o2region","glims_id","anlys_id","subm_id","src_date","cenlon","cenlat","utm_zone","area_km2","primeclass","conn_lvl","surge_type","term_type","glac_name","is_rgi6","termlon","termlat","zmin_m","zmax_m","zmed_m","zmean_m","slope_deg","aspect_deg","aspect_sec","dem_source","lmax_m"
"RGI2000-v7.0-G-01-04059","01","01-02","G208036E62817N",396571,624,"2010-09-12T00:00:00",-151.96295303227697,62.816652500000004,5,0.107338829112586,0,0,0,9,"",1,-151.95982422065006,62.816539018559865,2476.4385,2779.4832,2647.7642,2645.9514,35.204414,60.00262,2,"COPDEM30",409
"RGI2000-v7.0-G-01-04060","01","01-02","G208052E62800N",396576,624,"2010-09-12T00:00:00",-151.9476054075449,62.799856000000005,5,0.105666862342264,0,0,3,9,"",1,-151.95269258280806,62.80048270636301,2405.7192,2975.4644,2632.73,2658.1516,37.52648,307.8446311950684,8,"COPDEM30",735
"RGI2000-v7.0-G-01-04061","01","01-02","G208060E62799N",396584,624,"2010-09-12T00:00:00",-151.93901688088238,62.799031,5,0.236209663044324,0,0,3,9,"",1,-151.94264828517163,62.80192665931613,2447.8528,2989.832,2698.452,2709.519,38.600086,10.685599,1,"COPDEM30",658
"RGI2000-v7.0-G-01-04062","01","01-02","G208058E62795N",396581,624,"2010-09-12T00:00:00",-151.94260759064787,62.794675,5,0.150145600596608,0,0,3,9,"",1,-151.94608663307014,62.79484724953024,2714.43,3014.815,2953.8271,2923.9038,37.663715,257.2202682495117,7,"COPDEM30",532
"RGI2000-v7.0-G-01-04063","01","01-02","G208060E62790N",396583,624,"2010-09-12T00:00:00",-151.9402265120146,62.789818,5,0.112793572832079,0,0,3,9,"",1,-151.93723858441032,62.788208915770596,2688.6792,2987.2952,2879.1501,2873.4512,38.55748,189.52163696289065,5,"COPDEM30",566
"RGI2000-v7.0-G-01-04064","01","01-02","G208102E62791N",396596,624,"2010-09-12T00:00:00",-151.89801786904036,62.790937,5,0.265683924013242,0,0,0,9,"",1,-151.904548678945,62.788817643546935,2377.6184,3086.9355,2761.5037,2778.155,41.389214,241.5918884277344,6,"COPDEM30",848
"RGI2000-v7.0-G-01-04065","01","01-02","G208114E62791N",396601,624,"2010-09-12T00:00:00",-151.88668101183032,62.7910125,5,0.209804689552062,0,0,0,9,"",1,-151.87916917870015,62.78878179124592,2315.337,3109.9114,2749.38,2742.3804,43.239517,108.88697,3,"COPDEM30",910
"RGI2000-v7.0-G-01-04066","01","01-02","G208114E62799N",396602,624,"2010-09-12T00:00:00",-151.88664119065658,62.798967000000005,5,0.973691032957858,0,0,3,9,"",1,-151.91287686142425,62.803446562374546,2228.3767,3526.0078,2993.406,2970.8677,41.514545,295.53855895996094,8,"COPDEM30",1838
"RGI2000-v7.0-G-01-04067","01","01-02","G208123E62821N",396606,624,"2010-09-12T00:00:00",-151.87758119831224,62.820811,5,0.210380255474366,0,0,3,9,"",1,-151.8805906609368,62.82173145517862,2124.4604,2520.5703,2274.1729,2285.4155,31.798452,311.5686492919922,8,"COPDEM30",576
"RGI2000-v7.0-G-01-04068","01","01-02","G207939E62675N",396434,624,"2010-09-12T00:00:00",-151.87402558938294,62.757241,5,0.073166302520453,0,0,0,9,"",1,-151.8731749124496,62.75579562433378,1740.0239,1957.8701,1823.1793,1829.9403,34.111176,135.93817,4,"COPDEM30",409
"RGI2000-v7.0-G-01-04069","01","01-02","G208036E62751N",396570,624,"2010-09-12T00:00:00",-151.96399795695308,62.751614000000004,5,0.086665466366331,0,0,0,9,"",1,-151.96755309558728,62.751354291033614,1887.8419,2111.8455,2028.0398,2020.3564,36.35911,220.5469207763672,6,"COPDEM30",291
